"23.49.23.181,443,Akamai Technologies, Inc.,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,a23-49-23-181.deploy.static.akamaitechnologies.com,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104.85.226.190,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",a104-85-226-190.deploy.static.akamaitechnologies.com,getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.214.184.85,443,Akamai International, BV,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,postef-installation-hml.auttar.com.br,a23-214-184-85.deploy.static.akamaitechnologies.com,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.204.42.86,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,a23-204-42-86.deploy.static.akamaitechnologies.com,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"23.39.9.240,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,a23-39-9-240.deploy.static.akamaitechnologies.com,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.40.237.238,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",a23-40-237-238.deploy.static.akamaitechnologies.com,getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"184.30.33.190,443,Akamai Technologies, Inc.,gateway-tefsp.auttar.com.br",getnet.com.br,exportador.auttar.com.br,ecommerce.auttar.com.br,api-gateway.getnet.com.br,a184-30-33-190.deploy.static.akamaitechnologies.com,autenticador.auttar.com.br,api-backoffice.auttar.com.br,servicosportais-tns.getnet.com.br,pag.getnet.com.br,api.getnet.com.br,checkout.getnet.com.br,digital.getnet.com.br,ecommerce.santandergetnet.com.br,terminal.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,ctf.auttar.com.br,api-sandbox.getnet.com.br,"gateway-tef.auttar.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.208.41.209,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,a23-208-41-209.deploy.static.akamaitechnologies.com,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
"23.64.138.183,443,Akamai Technologies, Inc.,autar.com.br",auttar.com.br,postef-configuration-hml.auttar.com.br,postef-configuration-dev.auttar.com.br,getstore.getnet.com.br,api-hti.auttar.com.br,api-backoffice.getnet.com.br,www.getnet-tecnologia.com.br,a23-64-138-183.deploy.static.akamaitechnologies.com,postef-installation-hml.auttar.com.br,conciliador.auttar.com.br,www.getnet.com.br,novoportal-bff.auttar.com.br,postef-installation-dev.auttar.com.br,api.auttar.com.br,cloudmonitor.getnet.com.br,getnet-tecnologia.com.br,idget.info,novoportal.auttar.com.br,"cartaosuperget.com.br,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.35.42.106,443,Akamai Technologies, Inc.,cloudmonitor.getnet.com.br",www1.getnet-tecnologia.com.br,gateway-tefsp.auttar.com.br,tefgetnet.auttar.com.br,digital-hcli.getnet.com.br,portal.auttar.com.br,conciliadorb2w.auttar.com.br,dn.getnet.com.br,cfe.getnet.com.br,servicosportais-tns.getnet.com.br,atendimento.auttar.com.br,credenciamentodigital.getnet.com.br,ecommerce-hom.getnet.com.br,getsso-hom.getnet.com.br,postefnicho-hom.auttar.com.br,a23-35-42-106.deploy.static.akamaitechnologies.com,appdyn.getnet.com.br,digital.getnet.com.br,api-gateway-hti.getnet.com.br,portal.getnet-tecnologia.com.br,ctf.auttar.com.br,www.getnet.com.br,api-hcli.getnet.com.br,gateway-tef.auttar.com.br,www.auttar.com.br,cartaosuperget.com.br,cgws-hti.getnet.com.br,gateway-tefcb.auttar.com.br,getstore.getnet.com.br,api-backoffice.getnet.com.br,homologacao.auttar.com.br,checkout-hcli.getnet.com.br,getnet.com.br,brpremmiaws.getnet.com.br,api-gateway.getnet.com.br,getconfig.getnet.com.br,getnet-tecnologia.com.br,cg-hg.getnet.com.br,recorrencia-homologacao.getnet.com.br,servicos-logistica-hti.getnet.com.br,checkout-homologacao.getnet.com.br,terminal.getnet.com.br,atendimentoweb.getnet.com.br,sincronizador.auttar.com.br,cgws.getnet.com.br,recorrencia.getnet.com.br,www.santandergetnet.com.br,getconfig-hg.getnet.com.br,getsso-tns.getnet.com.br,conquistemais.getnet.com.br,postefnicho.auttar.com.br,portal.getnet.com.br,getconfig-hti.getnet.com.br,autar.com.br,portal-dev.auttar.com.br,brpremmia-hti.getnet.com.br,minhaconta.getnet.com.br,bndes-hti.getnet.com.br,cg-hk.getnet.com.br,getstore-hti.getnet.com.br,exportador.auttar.com.br,www.getnet-tecnologia.com.br,api.getnet.com.br,checkout.getnet.com.br,idget.info,cg-hti.getnet.com.br,loja.getnet.com.br,www.cartaosuperget.com.br,ars-hml.getnet.com.br,ecommerce.santandergetnet.com.br,comprovantesuperget.getnet.com.br,api-homologacao.getnet.com.br,pag-homologacao.getnet.com.br,servicosportais.getnet.com.br,api-piloto.getnet.com.br,getsso.getnet.com.br,portalweb-des.auttar.com.br,servicos-logistica-hk.getnet.com.br,auttar.com.br,www2.getnet.com.br,autenticador.auttar.com.br,pag.getnet.com.br,checkout-sandbox.getnet.com.br,ecommerce.auttar.com.br,splitdepagamento.getnet.com.br,servicosportais-sso.getnet.com.br,conciliadorhmlb2w.auttar.com.br,pre-pago.getnet-tecnologia.com.br,gateway-integracao.auttar.com.br,portal-homologacao.getnet.com.br,bndes.getnet.com.br,developers.getnet.com.br,scows-hti.getnet.com.br,api-sandbox.getnet.com.br,"site.getnet.com.br,"
